Gene	Chr	SAM_score	Subgroup
CBX7	22q13.1	-7.49	PR
EPS15	1p32	-6.06	PR
SLC7A7	14q11.2	-5.77	PR
PCDHGC3	5q31	-5.48	PR
INADL	1p31.3	-5.42	PR
TBC1D10C	11q13.2	-5.39	PR
FGF2	4q26-q27	-5.25	PR
FGD4	12p11.21	-5.21	PR
DUSP26	8p12	-5.18	PR
DPYD	1p22	-5.14	PR
ARHGAP18	6q22.33	-5.08	PR
DDHD2	8p12	-5.06	PR
C1orf119	1p13.3	-4.97	PR
ZHX2	8q24.13	-4.96	PR
FLJ25076	5p15.31	-4.96	PR
MOBKL2C	1p33	-4.89	PR
SOCS1	16p13.13	-4.86	PR
ZBTB20	3q13.2	-4.86	PR
NLK	17q11.2	-4.82	PR
PWWP2	10q26.3	-4.74	PR
PAXIP1L	7q36	-4.73	PR
GAB1	4q31.21	-4.67	PR
BAZ2B	2q23-q24	-4.67	PR
ARID5B	10q21.2	-4.66	PR
PPAPDC1B	8p12	-4.64	PR
SMAP1L	1p35.3-p34.1	-4.60	PR
JMJD1C	10q21.3	-4.60	PR
MAP2	2q34-q35	-4.54	PR
TIFA	4q25	-4.53	PR
TFEB	6p21	-4.51	PR
ALCAM	3q13.1	-4.46	PR
SYNE2	14q23.2	-4.43	PR
BLNK	10q23.2-q23.33	-4.42	PR
226773_at	4q22.1	-4.42	PR
CYLD	16q12-q13	-4.39	PR
241859_at	2q33.1	-4.39	PR
LOC91526	2q33.1	-4.39	PR
PCAF	3p24	-4.38	PR
PHF1	6p21.3	-4.33	PR
CNTN1	12q11-q12	-4.32	PR
RSBN1	1p13.2	-4.30	PR
RASGRP3	2p25.1-p24.1	-4.26	PR
RANBP2L1	2q13	-4.25	PR
MGC40042	22q13.2	-4.25	PR
NR3C2	4q31.1	-4.25	PR
SH3GLB1	1p22	-4.23	PR
BCL10	1p22	-4.23	PR
TK2	16q22-q23.1	-4.21	PR
PRDM2 (TSG)	1p36	-4.20	PR
SATB1	3p23	-4.20	PR
222001_x_at	1q21.1	-7.44	LB
FAM91A2	1q21.1	-7.22	LB
CCR2	3p21	-6.61	LB
DUSP6	12q22-q23	-6.42	LB
LY6E	8q24.3	-6.41	LB
PTPRCAP	11q13.3	-6.15	LB
SEPHS1	10p14	-5.97	LB
FAM70A	Xq24	-5.92	LB
LOC440667	1q21.1	-5.81	LB
CKLF	16q22.1	-5.67	LB
BASP1	5p15.1-p14	-5.60	LB
IFRG28	3q27.3	-5.52	LB
CASP4	11q22.2-q22.3	-5.48	LB
TACC1	8p11	-5.40	LB
240890_at	11q22.3	-5.35	LB
ZC3H12C	11q22.3	-5.29	LB
PARP8	5q11.1	-5.10	LB
STAT1	2q32.2	-5.07	LB
BIRC4BP	17p13.1	-5.04	LB
MX2	21q22.3	-4.93	LB
244008_at	5q11.1	-4.93	LB
236704_at	1q21.1	-4.76	LB
229429_x_at	1q21.1	-4.72	LB
227383_at	1q21.1	-4.70	LB
WASPIP	2q31.1	-4.69	LB
IFI27	14q32	-4.66	LB
TRAF5	1q32	-4.60	LB
IFIT5	10q23.31	-4.56	LB
MAN1C1	1p35	-4.52	LB
227384_s_at	1q21.1	-4.50	LB
RSAD2	2p25.2	-4.50	LB
FLJ39739	1q21.1	-4.49	LB
AKNA	9q32	-4.49	LB
G1P3	1p35	-4.42	LB
CAP1	1p34.2	-4.41	LB
HIF1A	14q21-q24	-4.39	LB
HIST1H3D	6p21.3	-4.23	LB
FLJ46385	19q13.42	-4.22	LB
240122_at	9q22.2	-4.22	LB
ENAM	4q13.3	-4.15	LB
IFI35	17q21	-4.14	LB
IRF1	5q31.1	-4.09	LB
STAT2	12q13.3	-4.08	LB
FLJ20035	4q32.3	-4.05	LB
GTPBP1	22q13.1	-4.02	LB
PSMB10	16q22.1	-4.00	LB
LYSMD2	15q21.2	-3.99	LB
USP18	22q11.21	-3.99	LB
RAI17	10q22.3	-3.98	LB
SMAD1	4q31	-3.98	LB
MOBKL2A	19p13.3	-13.08	MS
208657_s_at	17q25	-11.36	MS
41220_at	17q25	-9.94	MS
GPX1	3p21.3	-8.41	MS
PORIMIN	11q22.1	-8.02	MS
RHOBTB3	5q15	-7.71	MS
SLC16A6	17q24.2	-6.95	MS
Ells1	7p15.1	-6.44	MS
SPIN3	Xp11.1	-6.31	MS
RPS2	16p13.3	-6.25	MS
ISL2	15q23	-6.20	MS
POLR1D	13q12.2	-6.15	MS
