Gene	Chr	SAM_score	Subgroup
GAGE2	Xp11.23	8.18	PR
KIAA0101	15q22.31	7.84	PR
CCNB2	15q22.2	7.79	PR
GAGE5	Xp11.4-p11.2	7.78	PR
TYMS	18p11.32	7.4	PR
FLJ10719	15q25-q26	7.39	PR
FAM72A	1p11.2	7.37	PR
CDCA1	1q23.3	7.22	PR
DEPDC1B	5q12.1	7.20	PR
GAGE4	Xp11.4-p11.2	7.19	PR
RRM2	2p25-p24	7.15	PR
UBE2T	1q32.1	7.09	PR
GAGE1	Xp11.4-p11.2	7.08	PR
KPNA2	17q23.1-q23.3	7.06	PR
MAGEA6	Xq28	7.06	PR
RFC4	3q27	6.96	PR
MAGEA3	Xq28	6.94	PR
NUSAP1	15q15.1	6.87	PR
BUB1B	15q15	6.85	PR
BIRC5	17q25	6.83	PR
MCM10	10p13	6.82	PR
FLJ10534	17p13.3	6.81	PR
KIF14	1pter-q31.3	6.74	PR
TPX2	20q11.2	6.74	PR
RACGAP1	12q13.12	6.72	PR
E2F8	11p15.1	6.67	PR
222606_at	15q22.31	6.50	PR
SPBC24	19p13.2	6.49	PR
TOP2A	17q21-q22	6.47	PR
STK6	20q13.2-q13.3	6.47	PR
SPBC25	2q24.3	6.47	PR
CCNB1	5q12	6.42	PR
FLJ11029	17q23.2	6.41	PR
ASPM	1q31	6.38	PR
FOXM1	12p13	6.38	PR
NY-REN-41	11p14.1	6.35	PR
SLC19A1	21q22.3	6.32	PR
CDC2	10q21.1	6.22	PR
TRIP13	5p15.33	6.21	PR
TTK	6q13-q21	6.20	PR
MAGEA1	Xq28	6.19	PR
BRP44	1q24	6.18	PR
EZH2	7q35-q36	6.17	PR
C1orf155	1q25.1	6.11	PR
DLG7	14q22.3	6.11	PR
PRC1	15q26.1	6.09	PR
DCC1	8q24.12	6.08	PR
NEK2	1q32.2-q41	6.06	PR
UBE2C	20q13.12	6.03	PR
C18orf24	18q21.1	6.00	PR
PHACTR3	20q13.33	9.46	LB
RASGRP1	15q15	6.56	LB
PBEF1	7q22.3	6.55	LB
PLXNA1	3q21.3	6.44	LB
PARP15	3q21.1	5.95	LB
PLEKHA7	11p15.1	5.81	LB
KCNJ11	11p15.1	5.75	LB
230781_at	4q21.21	5.70	LB
COL9A2	1p33-p32	5.57	LB
EDN1	6p24.1	5.57	LB
LOC283278	11p15.1	5.51	LB
CSF2RB	22q13.1	5.51	LB
CYBRD1	2q31.1	5.47	LB
NTHL1	16p13.3	5.34	LB
MAP4K3	2p22.1	5.06	LB
PPP1R14A	19q13.1	4.81	LB
PCGF5	10q23.32	4.8	LB
FLJ30901	22q13.31	4.79	LB
CTTN	11q13	4.79	LB
1558397_at	17q23.3	4.79	LB
LOC253981	4p14	4.73	LB
MAST4	5q12.3	4.64	LB
LOC338620	10p11.23	4.53	LB
CGREF1	2p23.3	4.53	LB
P2RX5	17p13.3	4.52	LB
FLNB	3p14.3	4.45	LB
229359_at	2p23.3	4.44	LB
BOC	3q13.2	4.43	LB
BIK	22q13.31	4.35	LB
229067_at	1	4.31	LB
USP53	4q26	4.30	LB
SMAP1L	1p35.3-p34.1	4.28	LB
HES5	1p36.32	4.28	LB
SLC39A6	18q12.2	4.25	LB
LOC130576	2q23.3	4.24	LB
MBD2	18q21	4.23	LB
CACNB3	12q13	4.23	LB
KIAA0895	7p14.1	4.21	LB
COPZ2	17q21.32	4.18	LB
235427_at	2q33.1	4.17	LB
PLS1	3q23	4.17	LB
ARID5B	10q21.2	4.16	LB
SAMD3	6q23.1	4.15	LB
LOC400793	1q23.3	4.10	LB
LOC283454	12q24.23	4.09	LB
1568955_at	1	4.08	LB
ADAM22	7q21	4.02	LB
C19orf36	19p13.3	4.01	LB
ARNT2	15q24	4.01	LB
C6orf105	6p24.1	3.99	LB
WHSC1	4p16.3	23.19	MS
FGFR3	4p16.3	18.32	MS
BACE2	21q22.3	11.94	MS
DSG2	18q12.1	11.61	MS
CLEC11A	19q13.3	10.53	MS
CENTG2	2p24.3-p24.1	10.19	MS
MYRIP	3p22.2-p22.1	9.26	MS
FZD2	17q21.1	8.99	MS
SERPINE2	2q33-q35	8.93	MS
NAP1L3	Xq21.3-q22	8.87	MS
C10orf38	10p13	8.62	MS
JAM3	11q25	8.42	MS
RPIB9	7q21.12	8.24	MS
C18orf4	18q22.1	8.09	MS
NGFRAP1	Xq22.2	7.99	MS
TRIM58	1q44	7.97	MS
FZD8	10p11.21	7.88	MS
PBX1	1q23	7.66	MS
PCSK5	9q21.3	7.56	MS
CLGN	4q28.3-q31.1	7.55	MS
RAI2	Xp22	7.50	MS
HCA112	7q36.1	7.47	MS
PPM1H	12q14.1-q14.2	7.44	MS
ZNF503	10q22.2	7.44	MS
CST3	20p11.21	7.35	MS
BOMB	4q35.1	7.33	MS
DTNA	18q12	7.26	MS
NCRMS	12q23.1	7.21	MS
LRP12	8q22.2-q23.1	7.18	MS
LOH11CR2A	11q23	7.17	MS
KLHL13	Xq23-q24	7.16	MS
241535_at	2p25.3	7.13	MS
MITF	3p14.2-p14.1	7.12	MS
LOC400741	1p36.13	7.09	MS
RNF32	7q36.3	7.03	MS
227290_at	16q23.2	7.00	MS
